Airport, Date, Value, Captor, SensorType
CDG,2022-12-29 19:08:25,19.67,0,2
CDG,2022-12-29 19:08:54,-26.82,1,1
CDG,2022-12-29 19:09:04,-26.82,1,0
CDG,2022-12-29 19:09:10,4.11,1,2
CDG,2022-12-29 19:09:16,8.94,1,1
CDG,2022-12-29 19:09:21,-7.68,1,2
CDG,2022-12-29 19:09:26,8.94,1,0
CDG,2022-12-29 19:09:27,8.86,1,1
CDG,2022-12-29 19:09:37,8.86,1,0
CDG,2022-12-29 19:09:39,-0.84,1,1
CDG,2022-12-29 19:09:49,-0.84,1,0
CDG,2022-12-29 19:09:50,-39.26,1,1
CDG,2022-12-29 19:10:00,-39.26,1,0
CDG,2022-12-29 19:10:06,-27.77,1,2
CDG,2022-12-29 19:10:12,15.40,1,1
CDG,2022-12-29 19:10:17,-18.85,1,2
CDG,2022-12-29 19:10:22,15.40,1,0
CDG,2022-12-29 19:10:23,-40.03,0,1
CDG,2022-12-29 19:10:33,-40.03,0,0
CDG,2022-12-29 19:10:39,-7.16,0,2
CDG,2022-12-29 19:10:56,1.28,1,1
CDG,2022-12-29 19:11:02,-0.69,1,2
CDG,2022-12-29 19:11:07,1.28,1,0
CDG,2022-12-29 19:11:08,2.45,0,1
CDG,2022-12-29 19:11:13,-15.20,0,2
CDG,2022-12-29 19:11:18,2.45,0,0
CDG,2022-12-29 19:11:24,6.38,1,2
CDG,2022-12-29 19:11:30,-40.20,1,1
CDG,2022-12-29 19:11:35,25.58,0,2
CDG,2022-12-29 19:11:40,-40.20,1,0
CDG,2022-12-29 19:11:52,-28.35,0,1
CDG,2022-12-29 19:12:03,-28.35,0,0
CDG,2022-12-29 19:12:03,0.65,1,1
CDG,2022-12-29 19:12:14,0.65,1,0
CDG,2022-12-29 19:12:20,-26.32,0,2
CDG,2022-12-29 19:12:26,49.92,1,1
CDG,2022-12-29 19:12:36,49.92,1,0
CDG,2022-12-29 19:12:37,28.08,0,1
CDG,2022-12-29 19:12:42,-21.87,1,2
CDG,2022-12-29 19:12:47,28.08,0,0
CDG,2022-12-29 19:12:48,21.47,1,1
CDG,2022-12-29 19:12:54,12.51,1,2
CDG,2022-12-29 19:12:59,21.47,1,0
CDG,2022-12-29 19:12:59,47.39,0,1
CDG,2022-12-29 19:13:10,47.39,0,0
CDG,2022-12-29 19:13:10,44.52,1,1
CDG,2022-12-29 19:13:16,23.61,0,2
CDG,2022-12-29 19:13:21,44.52,1,0
CDG,2022-12-29 19:13:21,-18.81,1,1
CDG,2022-12-29 19:13:27,10.40,0,2
CDG,2022-12-29 19:13:32,-18.81,1,0
CDG,2022-12-29 19:13:32,-41.75,0,1
CDG,2022-12-29 19:13:43,-41.75,0,0
CDG,2022-12-29 19:13:49,8.98,1,2
CDG,2022-12-29 19:13:54,-0.06,1,1
CDG,2022-12-29 19:14:05,-0.06,1,0
CDG,2022-12-29 19:14:12,-47.37,0,2
CDG,2022-12-29 19:14:28,-46.42,0,1
CDG,2022-12-29 19:14:39,-46.42,0,0
CDG,2022-12-29 19:14:39,1.31,0,1
CDG,2022-12-29 19:14:50,1.31,0,0
CDG,2022-12-29 19:15:13,-42.50,1,1
CDG,2022-12-29 19:15:18,-26.82,1,2
CDG,2022-12-29 19:15:24,-42.50,1,0
CDG,2022-12-29 19:15:41,8.94,1,2
CDG,2022-12-29 19:15:52,8.86,1,2
CDG,2022-12-29 19:16:03,-0.84,1,2
CDG,2022-12-29 19:16:08,45.60,0,1
CDG,2022-12-29 19:16:15,-39.26,1,2
CDG,2022-12-29 19:16:19,46.71,0,1
CDG,2022-12-29 19:16:19,45.60,0,0
CDG,2022-12-29 19:16:31,46.71,0,0
CDG,2022-12-29 19:16:37,15.40,1,2
CDG,2022-12-29 19:16:49,-40.03,0,2
CDG,2022-12-29 19:17:04,-48.48,0,1
CDG,2022-12-29 19:17:15,-48.48,0,0
CDG,2022-12-29 19:17:22,1.28,1,2
CDG,2022-12-29 19:17:26,-15.21,1,1
CDG,2022-12-29 19:17:34,2.45,0,2
CDG,2022-12-29 19:17:37,-47.69,0,1
CDG,2022-12-29 19:17:37,-15.21,1,0
CDG,2022-12-29 19:17:49,33.49,1,1
CDG,2022-12-29 19:17:49,-47.69,0,0
CDG,2022-12-29 19:17:56,-40.20,1,2
CDG,2022-12-29 19:18:00,33.49,1,0
CDG,2022-12-29 19:18:18,-28.35,0,2
CDG,2022-12-29 19:18:29,0.65,1,2
CDG,2022-12-29 19:18:44,7.84,1,1
CDG,2022-12-29 19:18:52,49.92,1,2
CDG,2022-12-29 19:18:56,7.84,1,0
CDG,2022-12-29 19:18:56,41.16,0,1
CDG,2022-12-29 19:19:03,28.08,0,2
CDG,2022-12-29 19:19:07,41.16,0,0
CDG,2022-12-29 19:19:14,21.47,1,2
CDG,2022-12-29 19:19:25,47.39,0,2
CDG,2022-12-29 19:19:36,44.52,1,2
CDG,2022-12-29 19:19:41,30.79,0,1
CDG,2022-12-29 19:19:47,-18.81,1,2
CDG,2022-12-29 19:19:52,14.09,1,1
CDG,2022-12-29 19:19:52,30.79,0,0
CDG,2022-12-29 19:19:59,-41.75,0,2
CDG,2022-12-29 19:20:03,14.09,1,0
CDG,2022-12-29 19:20:21,-0.06,1,2
CDG,2022-12-29 19:20:36,44.44,1,1
CDG,2022-12-29 19:20:47,47.59,1,1
CDG,2022-12-29 19:20:47,44.44,1,0
CDG,2022-12-29 19:20:54,-46.42,0,2
CDG,2022-12-29 19:20:58,-18.46,1,1
CDG,2022-12-29 19:20:58,47.59,1,0
